GameDataRecords from User Named:KumamotoRyo
EXPDayIndex,ResultType,CurrentUsedSpeed,LaunchedTime,ReactiontimeInterval,CurrentSuccessRate
1,E_Failure_CollRed,1000.0,103.340927,0.550117,0.0
1,E_Success_InterCeptRed,1000.0,103.340927,0.550117,0.0
1,E_Success_InterCeptRed,1000.0,103.340927,0.550117,0.0
1,E_Failure_InterCeptGreen,1000.0,103.891045,0.0,0.0
1,E_Failure_InterCeptGreen,1000.0,103.340927,0.550117,0.0
1,E_Failure_CollRed,1000.0,103.891045,0.533447,0.0
1,E_Failure_CollRed,1000.0,103.891045,0.533447,0.0
1,E_Failure_CollRed,1000.0,103.891045,0.533447,0.0
1,E_Success_CollGreen,1000.0,103.891045,0.550117,0.0
1,E_Failure_InterCeptGreen,1000.0,104.424492,0.166702,0.0
1,E_Success_InterCeptRed,1000.0,104.424492,0.233383,0.0
1,E_Failure_InterCeptGreen,1000.0,104.424492,0.233383,0.0
1,E_Failure_InterCeptGreen,1000.0,104.657875,0.133362,0.0
1,E_Failure_CollRed,1000.0,104.441162,0.550117,0.0
1,E_Failure_CollRed,1000.0,104.591194,0.533447,0.0
1,E_Success_InterCeptRed,1000.0,104.99128,0.150032,0.0
1,E_Failure_CollRed,1000.0,104.657875,0.533447,0.0
1,E_Failure_InterCeptGreen,1000.0,105.124641,0.183372,0.0
1,E_Success_CollGreen,1000.0,104.791237,0.533447,0.0
1,E_Success_InterCeptRed,1000.0,105.191322,0.150032,0.0
1,E_Failure_CollRed,1000.0,105.141312,0.550117,0.0
1,E_Success_InterCeptRed,1000.0,105.691429,0.03334,0.35
1,E_Failure_CollRed,1000.0,105.308014,0.533447,0.35
1,E_Success_InterCeptRed,1000.0,105.324684,0.533447,0.3
1,E_Failure_CollRed,1000.0,105.341354,0.533447,0.35
1,E_Failure_InterCeptGreen,1000.0,105.841461,0.066681,0.35
1,E_Success_InterCeptRed,1000.0,105.874802,0.03334,0.35
1,E_Failure_InterCeptGreen,1000.0,105.858131,0.183372,0.4
1,E_Failure_InterCeptGreen,1000.0,105.72477,0.316734,0.4
1,E_Success_CollGreen,1000.0,105.908142,0.533447,0.35
1,E_Success_CollGreen,1000.0,105.908142,0.533447,0.4
1,E_Success_InterCeptRed,1000.0,106.441589,0.100021,0.4
1,E_Success_CollGreen,1000.0,106.041504,0.533447,0.45
1,E_Failure_CollRed,1000.0,106.041504,0.550117,0.5
1,E_Success_InterCeptRed,1000.0,106.591621,0.116692,0.5
1,E_Success_CollGreen,1000.0,106.441589,0.550117,0.55
1,E_Success_CollGreen,1000.0,106.541611,0.533447,0.55
1,E_Failure_CollRed,1000.0,106.574951,0.550117,0.6
1,E_Failure_InterCeptGreen,1000.0,107.125069,0.01667,0.6
1,E_Failure_InterCeptGreen,1000.0,106.708313,0.466766,0.55
1,E_Failure_CollRed,1000.0,106.991707,0.550117,0.5
1,E_Success_InterCeptRed,1000.0,107.541824,0.066681,0.5
1,E_Failure_CollRed,1000.0,107.075058,0.550117,0.5
1,E_Success_InterCeptRed,1000.0,107.625175,0.01667,0.5
1,E_Failure_CollRed,1000.0,107.141739,0.533447,0.5
1,E_Failure_InterCeptGreen,1000.0,107.675186,0.01667,0.5
1,E_Success_InterCeptRed,1000.0,107.175079,0.516777,0.5
