GameDataRecords from User Named:Natsuki Koyama
EXPDayIndex,ResultType,CurrentUsedSpeed,LaunchedTime,ReactiontimeInterval,CurrentSuccessRate
1,E_Failure_CollRed,1000.0,1357.161987,0.549316,0.0
1,E_Failure_CollRed,1000.0,1357.161987,0.549316,0.0
1,E_Failure_CollRed,1000.0,1357.161987,0.549316,0.0
1,E_Success_CollGreen,1000.0,1357.161987,0.549316,0.0
1,E_Success_InterCeptRed,1000.0,1357.711304,0.525757,0.0
1,E_Success_CollGreen,1000.0,1357.711304,0.548096,0.0
1,E_Success_CollGreen,1000.0,1357.711304,0.548096,0.0
1,E_Failure_CollRed,1000.0,1357.711304,0.548096,0.0
1,E_Failure_InterCeptGreen,1000.0,1358.259399,0.278687,0.0
1,E_Success_CollGreen,1000.0,1358.237061,0.544312,0.0
1,E_Success_CollGreen,1000.0,1358.259399,0.549805,0.0
1,E_Success_CollGreen,1000.0,1358.259399,0.549805,0.0
1,E_Success_InterCeptRed,1000.0,1358.538086,0.480835,0.0
1,E_Success_InterCeptRed,1000.0,1358.781372,0.52124,0.0
1,E_Failure_CollRed,1000.0,1358.809204,0.547363,0.0
1,E_Failure_CollRed,1000.0,1358.809204,0.547363,0.0
1,E_Failure_InterCeptGreen,1000.0,1359.356567,0.042114,0.0
1,E_Failure_InterCeptGreen,1000.0,1359.302612,0.199585,0.0
1,E_Failure_CollRed,1000.0,1359.018921,0.544434,0.0
1,E_Failure_InterCeptGreen,1000.0,1359.563354,0.119751,0.0
1,E_Success_InterCeptRed,1000.0,1359.356567,0.440918,0.0
1,E_Success_CollGreen,1000.0,1359.398682,0.541626,0.5
1,E_Success_InterCeptRed,1000.0,1359.502197,0.487061,0.55
1,E_Failure_CollRed,1000.0,1359.683105,0.543457,0.6
1,E_Failure_InterCeptGreen,1000.0,1359.940308,0.384399,0.55
1,E_Success_CollGreen,1000.0,1359.797485,0.547119,0.5
1,E_Success_InterCeptRed,1000.0,1360.226562,0.28894,0.5
1,E_Success_CollGreen,1000.0,1359.989258,0.547729,0.5
1,E_Failure_InterCeptGreen,1000.0,1360.536987,0.331787,0.55
1,E_Failure_CollRed,1000.0,1360.324707,0.544067,0.55
1,E_Success_CollGreen,1000.0,1360.344604,0.548584,0.5
1,E_Failure_InterCeptGreen,1000.0,1360.868774,0.155396,0.5
1,E_Success_CollGreen,1000.0,1360.515503,0.54187,0.45
1,E_Success_CollGreen,1000.0,1360.868774,0.547363,0.45
1,E_Success_CollGreen,1000.0,1360.893188,0.546997,0.45
1,E_Success_InterCeptRed,1000.0,1361.057373,0.411011,0.5
1,E_Success_CollGreen,1000.0,1361.02417,0.544312,0.55
1,E_Success_InterCeptRed,1000.0,1361.440186,0.410522,0.6
1,E_Success_CollGreen,1000.0,1361.416138,0.547852,0.65
1,E_Success_InterCeptRed,1000.0,1361.568481,0.443359,0.7
1,E_Success_CollGreen,1000.0,1361.468384,0.543457,0.75
1,E_Success_InterCeptRed,1000.0,1361.963989,0.368774,0.75
1,E_Success_CollGreen,1000.0,1361.850708,0.548828,0.75
1,E_Success_CollGreen,1000.0,1362.011841,0.546021,0.75
1,E_Success_CollGreen,1000.0,1362.011841,0.550537,0.8
1,E_Success_CollGreen,1000.0,1362.332764,0.54126,0.85
1,E_Success_CollGreen,1000.0,1362.399536,0.551758,0.85
1,E_Success_CollGreen,1000.0,1362.557861,0.546997,0.85
1,E_Success_CollGreen,1000.0,1362.562378,0.550903,0.85
1,E_Success_InterCeptRed,1000.0,1363.104858,0.245239,0.9
1,E_Success_InterCeptRed,1000.0,1362.874023,0.514771,0.95
1,E_Failure_CollRed,1000.0,1362.951294,0.547607,0.95
1,E_Failure_InterCeptGreen,1000.0,1363.350098,0.254639,0.95
1,E_Success_CollGreen,1000.0,1363.113281,0.551392,0.9
1,E_Failure_InterCeptGreen,1000.0,1363.498901,0.218628,0.9
1,E_Success_InterCeptRed,1000.0,1363.388794,0.463745,0.85
1,E_Failure_CollRed,1000.0,1363.604736,0.54248,0.85
1,E_Success_InterCeptRed,1000.0,1364.147217,0.035522,0.8
1,E_Success_CollGreen,1000.0,1363.664673,0.551025,0.8
1,E_Failure_CollRed,1000.0,1363.717529,0.550293,0.8
1,E_Success_InterCeptRed,1000.0,1363.852539,0.453735,0.75
1,E_Success_InterCeptRed,1000.0,1364.267822,0.288696,0.75
1,E_Success_InterCeptRed,1000.0,1364.306274,0.378784,0.75
1,E_Success_CollGreen,1000.0,1364.182739,0.544922,0.75
1,E_Success_CollGreen,1000.0,1364.215698,0.550415,0.75
1,E_Failure_InterCeptGreen,1000.0,1364.685059,0.175903,0.75
1,E_Success_CollGreen,1000.0,1364.556519,0.550049,0.7
1,E_Success_InterCeptRed,1000.0,1364.860962,0.374756,0.7
1,E_Success_CollGreen,1000.0,1364.727661,0.550293,0.7
1,E_Success_CollGreen,1000.0,1364.766113,0.550537,0.7
1,E_Success_InterCeptRed,1000.0,1365.106567,0.477661,0.7
1,E_Success_InterCeptRed,1000.0,1365.235718,0.457886,0.7
1,E_Success_CollGreen,1000.0,1365.277954,0.551147,0.75
1,E_Failure_CollRed,1000.0,1365.31665,0.547485,0.8
1,E_Failure_InterCeptGreen,1000.0,1365.864136,0.005371,0.75
1,E_Failure_CollRed,1000.0,1365.584229,0.549561,0.75
1,E_Success_InterCeptRed,1000.0,1365.693604,0.479614,0.7
1,E_Success_InterCeptRed,1000.0,1365.829102,0.53418,0.75
1,E_Failure_CollRed,1000.0,1365.869507,0.544312,0.75
1,E_Success_InterCeptRed,1000.0,1366.413818,0.046021,0.7
1,E_Success_InterCeptRed,1000.0,1366.133789,0.428101,0.75
1,E_Failure_InterCeptGreen,1000.0,1366.173218,0.503906,0.75
1,E_Failure_CollRed,1000.0,1366.363281,0.545532,0.7
1,E_Failure_CollRed,1000.0,1366.459839,0.543213,0.65
1,E_Success_InterCeptRed,1000.0,1366.908813,0.113892,0.6
1,E_Success_CollGreen,1000.0,1366.56189,0.549316,0.6
1,E_Success_InterCeptRed,1000.0,1366.677124,0.448486,0.65
1,E_Success_InterCeptRed,1000.0,1367.003052,0.296631,0.65
1,E_Success_InterCeptRed,1000.0,1367.111206,0.294312,0.65
1,E_Success_InterCeptRed,1000.0,1367.299683,0.234009,0.65
1,E_Failure_CollRed,1000.0,1367.022705,0.544312,0.65
1,E_Success_CollGreen,1000.0,1367.12561,0.546509,0.6
1,E_Failure_InterCeptGreen,1000.0,1367.533691,0.152588,0.6
1,E_Failure_InterCeptGreen,1000.0,1367.686279,0.062988,0.55
1,E_Success_CollGreen,1000.0,1367.405518,0.549683,0.55
1,E_Success_InterCeptRed,1000.0,1367.672119,0.40332,0.6
1,E_Failure_CollRed,1000.0,1367.567017,0.546631,0.65
1,E_Success_InterCeptRed,1000.0,1368.113647,0.107178,0.6
1,E_Success_CollGreen,1000.0,1367.749268,0.541504,0.6
1,E_Success_InterCeptRed,1000.0,1368.075439,0.344482,0.65
1,E_Success_CollGreen,1000.0,1367.9552,0.549561,0.65
1,E_Success_CollGreen,1000.0,1368.220825,0.542725,0.65
1,E_Success_CollGreen,1000.0,1368.290771,0.550537,0.7
1,E_Success_CollGreen,1000.0,1368.419922,0.544922,0.75
1,E_Success_CollGreen,1000.0,1368.504761,0.547607,0.8
1,E_Success_InterCeptRed,1000.0,1368.964844,0.349243,0.8
1,E_Success_CollGreen,1000.0,1368.76355,0.550537,0.8
1,E_Success_CollGreen,1000.0,1368.841309,0.549927,0.8
1,E_Failure_InterCeptGreen,1000.0,1369.314087,0.27478,0.8
1,E_Failure_CollRed,1000.0,1369.052368,0.549683,0.75
1,E_Failure_InterCeptGreen,1000.0,1369.602051,0.047607,0.7
1,E_Failure_CollRed,1000.0,1369.314087,0.544922,0.7
1,E_Success_InterCeptRed,1000.0,1369.859009,0.015869,0.65
1,E_Failure_CollRed,1000.0,1369.391235,0.548584,0.7
1,E_Success_InterCeptRed,1000.0,1369.874878,0.167358,0.7
1,E_Failure_InterCeptGreen,1000.0,1369.939819,0.162109,0.7
1,E_Success_CollGreen,1000.0,1369.588867,0.546143,0.65
1,E_Failure_CollRed,1000.0,1369.649658,0.547363,0.7
1,E_Success_InterCeptRed,1000.0,1370.042236,0.275391,0.65
1,E_Success_InterCeptRed,1000.0,1370.101929,0.494507,0.65
1,E_Failure_CollRed,1000.0,1370.13501,0.547974,0.65
1,E_Success_CollGreen,1000.0,1370.197021,0.547363,0.6
1,E_Success_InterCeptRed,1000.0,1370.317627,0.456421,0.6
1,E_Success_InterCeptRed,1000.0,1370.682983,0.400024,0.6
1,E_Success_CollGreen,1000.0,1370.596436,0.544067,0.6
1,E_Failure_InterCeptGreen,1000.0,1370.774048,0.447388,0.6
1,E_Failure_CollRed,1000.0,1370.744385,0.547485,0.55
1,E_Failure_InterCeptGreen,1000.0,1371.083008,0.319092,0.5
1,E_Failure_InterCeptGreen,1000.0,1371.29187,0.216675,0.45
1,E_Failure_InterCeptGreen,1000.0,1371.221436,0.368286,0.45
1,E_Success_InterCeptRed,1000.0,1371.140503,0.502808,0.45
1,E_Success_CollGreen,1000.0,1371.4021,0.544556,0.5
1,E_Success_InterCeptRed,1000.0,1371.643311,0.39917,0.55
1,E_Success_CollGreen,1000.0,1371.508545,0.54834,0.55
1,E_Success_CollGreen,1000.0,1371.589722,0.544556,0.6
1,E_Failure_InterCeptGreen,1000.0,1372.04248,0.207886,0.6
1,E_Success_CollGreen,1000.0,1371.946655,0.549194,0.6
1,E_Success_InterCeptRed,1000.0,1372.250366,0.289185,0.6
1,E_Failure_CollRed,1000.0,1372.056885,0.549561,0.65
