GameDataRecords from User Named:Oom
EXPDayIndex,ResultType,CurrentUsedSpeed,LaunchedTime,ReactiontimeInterval,CurrentSuccessRate
1,E_Failure_CollRed,1000.0,30.228981,0.549475,0.0
1,E_Failure_CollRed,1000.0,30.228981,0.549475,0.0
1,E_Failure_CollRed,1000.0,30.228981,0.549475,0.0
1,E_Success_CollGreen,1000.0,30.228981,0.549475,0.0
1,E_Success_InterCeptRed,1000.0,30.778456,0.099154,0.0
1,E_Failure_InterCeptGreen,1000.0,30.778456,0.152472,0.0
1,E_Success_InterCeptRed,1000.0,30.778456,0.157757,0.0
1,E_Failure_CollRed,1000.0,30.778456,0.546988,0.0
1,E_Success_InterCeptRed,1000.0,30.936213,0.472187,0.0
1,E_Success_InterCeptRed,1000.0,31.325443,0.09079,0.0
1,E_Success_CollGreen,1000.0,30.877609,0.54393,0.0
1,E_Success_CollGreen,1000.0,30.930927,0.544455,0.0
1,E_Success_InterCeptRed,1000.0,31.4084,0.537455,0.0
1,E_Success_CollGreen,1000.0,31.416233,0.545473,0.0
1,E_Success_InterCeptRed,1000.0,31.475382,0.494665,0.0
1,E_Success_CollGreen,1000.0,31.421539,0.548508,0.0
1,E_Success_InterCeptRed,1000.0,31.961706,0.463034,0.0
1,E_Success_CollGreen,1000.0,31.945854,0.547539,0.0
1,E_Success_CollGreen,1000.0,31.970047,0.542297,0.0
1,E_Success_CollGreen,1000.0,31.970047,0.550583,0.0
1,E_Success_InterCeptRed,1000.0,32.512344,0.447788,0.0
1,E_Failure_InterCeptGreen,1000.0,32.42474,0.544666,0.8
1,E_Success_InterCeptRed,1000.0,32.52063,0.467667,0.8
1,E_Success_CollGreen,1000.0,32.493393,0.54768,0.85
1,E_Success_InterCeptRed,1000.0,32.960133,0.497353,0.85
1,E_Success_InterCeptRed,1000.0,32.969406,0.497089,0.85
1,E_Success_CollGreen,1000.0,32.988297,0.54446,0.9
1,E_Success_CollGreen,1000.0,33.041073,0.547691,0.9
1,E_Success_InterCeptRed,1000.0,33.532757,0.429981,0.95
1,E_Success_CollGreen,1000.0,33.457485,0.543335,0.95
1,E_Success_CollGreen,1000.0,33.466496,0.545231,0.95
1,E_Success_CollGreen,1000.0,33.588764,0.550125,0.95
1,E_Success_CollGreen,1000.0,33.962738,0.546623,0.95
1,E_Success_InterCeptRed,1000.0,34.138889,0.383923,0.95
1,E_Success_CollGreen,1000.0,34.00082,0.550194,0.95
1,E_Success_CollGreen,1000.0,34.011726,0.550617,0.95
1,E_Success_InterCeptRed,1000.0,34.551014,0.483147,0.95
1,E_Success_InterCeptRed,1000.0,34.522812,0.521103,0.95
1,E_Success_InterCeptRed,1000.0,34.562344,0.486095,0.95
1,E_Success_InterCeptRed,1000.0,34.509361,0.54995,0.95
1,E_Success_InterCeptRed,1000.0,35.043915,0.512203,0.95
1,E_Success_InterCeptRed,1000.0,35.059311,0.502419,0.95
1,E_Failure_CollRed,1000.0,35.034161,0.545261,1.0
1,E_Failure_InterCeptGreen,1000.0,35.579422,0.004532,0.95
1,E_Success_CollGreen,1000.0,35.048439,0.545292,0.9
1,E_Success_InterCeptRed,1000.0,35.561729,0.482693,0.9
1,E_Success_InterCeptRed,1000.0,35.556118,0.491825,0.9
1,E_Success_CollGreen,1000.0,35.583954,0.544651,0.9
1,E_Success_CollGreen,1000.0,35.593731,0.550652,0.9
1,E_Success_InterCeptRed,1000.0,36.144382,0.395283,0.9
1,E_Success_InterCeptRed,1000.0,36.044422,0.518673,0.9
1,E_Success_CollGreen,1000.0,36.047943,0.5485,0.9
1,E_Success_CollGreen,1000.0,36.128605,0.548027,0.9
1,E_Failure_CollRed,1000.0,36.539665,0.542328,0.9
1,E_Success_InterCeptRed,1000.0,36.596443,0.500095,0.85
1,E_Failure_InterCeptGreen,1000.0,37.081993,0.014545,0.85
1,E_Success_CollGreen,1000.0,36.563095,0.543362,0.8
1,E_Success_CollGreen,1000.0,36.676632,0.550232,0.8
1,E_Success_InterCeptRed,1000.0,37.226864,0.401215,0.8
1,E_Success_CollGreen,1000.0,37.096539,0.546741,0.8
1,E_Success_CollGreen,1000.0,37.096539,0.546741,0.8
1,E_Success_CollGreen,1000.0,37.106457,0.550407,0.8
