GameDataRecords from User Named:junlin
EXPDayIndex,ResultType,CurrentUsedSpeed,LaunchedTime,ReactiontimeInterval,CurrentSuccessRate
1,E_Success_InterCeptRed,500.0,35.467094,0.516167,0.0
1,E_Success_InterCeptRed,500.0,35.467094,0.552963,0.0
1,E_Success_InterCeptRed,500.0,35.467094,0.789753,0.0
1,E_Success_InterCeptRed,500.0,36.020058,0.497807,0.0
1,E_Success_CollGreen,500.0,35.467094,1.095726,0.0
1,E_Failure_InterCeptGreen,500.0,36.256847,0.389008,0.0
1,E_Failure_InterCeptGreen,500.0,36.517864,0.394558,0.0
1,E_Success_InterCeptRed,500.0,36.645855,0.414494,0.0
1,E_Success_CollGreen,500.0,35.983261,1.090397,0.0
1,E_Success_InterCeptRed,500.0,36.912422,0.414772,0.0
1,E_Failure_InterCeptGreen,500.0,37.060349,0.362839,0.0
1,E_Success_CollGreen,500.0,36.56282,1.0965,0.0
1,E_Success_InterCeptRed,500.0,37.327194,0.367081,0.0
1,E_Success_InterCeptRed,500.0,37.423187,0.572941,0.0
1,E_Success_CollGreen,500.0,37.073658,1.09407,0.0
1,E_Success_InterCeptRed,500.0,37.694275,0.478828,0.0
1,E_Success_InterCeptRed,500.0,37.996128,0.306084,0.0
1,E_Success_InterCeptRed,500.0,38.173103,0.225376,0.0
1,E_Success_InterCeptRed,500.0,38.302212,0.200386,0.0
1,E_Failure_CollRed,500.0,37.659321,1.095486,0.0
1,E_Success_CollGreen,500.0,38.167728,1.096195,0.0
1,E_Success_CollGreen,500.0,38.398479,1.097206,0.8
1,E_Failure_CollRed,500.0,38.502598,1.091488,0.8
1,E_Success_CollGreen,500.0,38.754807,1.094048,0.75
1,E_Failure_CollRed,500.0,39.263924,1.098911,0.75
1,E_Success_CollGreen,500.0,39.495686,1.098427,0.7
1,E_Failure_CollRed,500.0,39.594086,1.096493,0.75
1,E_Success_CollGreen,500.0,39.848854,1.09507,0.75
1,E_Success_CollGreen,500.0,40.362835,1.098965,0.75
1,E_Failure_CollRed,500.0,40.594112,1.096397,0.75
1,E_Failure_CollRed,500.0,40.690578,1.097546,0.7
1,E_Failure_CollRed,500.0,40.943924,1.094299,0.7
1,E_Success_CollGreen,500.0,41.4618,1.095474,0.65
1,E_Failure_CollRed,500.0,41.69051,1.098652,0.65
1,E_Success_CollGreen,500.0,41.788124,1.093552,0.6
1,E_Failure_CollRed,500.0,42.038223,1.096149,0.6
1,E_Failure_CollRed,500.0,42.557274,1.096832,0.55
1,E_Failure_CollRed,500.0,42.789162,1.095959,0.5
1,E_Failure_CollRed,500.0,42.881676,1.09642,0.45
1,E_Success_CollGreen,500.0,43.134373,1.09803,0.4
1,E_Success_CollGreen,500.0,43.654106,1.093864,0.45
1,E_Failure_CollRed,500.0,43.88512,1.095528,0.45
1,E_Success_CollGreen,500.0,43.978096,1.093971,0.4
1,E_Success_CollGreen,500.0,44.232403,1.096355,0.45
1,E_Failure_CollRed,500.0,44.747971,1.095478,0.45
1,E_Success_CollGreen,500.0,44.980648,1.097809,0.45
1,E_Failure_CollRed,500.0,45.072067,1.096748,0.45
1,E_Failure_CollRed,500.0,45.328758,1.095558,0.45
1,E_Failure_CollRed,500.0,45.843449,1.096767,0.4
1,E_Success_CollGreen,500.0,46.078457,1.095058,0.35
1,E_Success_CollGreen,500.0,46.168816,1.097984,0.4
1,E_Success_CollGreen,500.0,46.424316,1.098701,0.45
1,E_Failure_CollRed,500.0,46.940216,1.098457,0.5
1,E_Success_CollGreen,500.0,47.173515,1.097191,0.45
1,E_Failure_CollRed,500.0,47.2668,1.094669,0.5
1,E_Failure_CollRed,500.0,47.523018,1.094543,0.45
1,E_Success_CollGreen,500.0,48.038673,1.097778,0.45
1,E_Success_CollGreen,500.0,48.270706,1.096966,0.5
1,E_Failure_CollRed,500.0,48.361469,1.094833,0.55
1,E_Failure_CollRed,500.0,48.617561,1.095257,0.55
1,E_Success_CollGreen,500.0,49.136452,1.095661,0.5
1,E_Failure_CollRed,500.0,49.367672,1.096821,0.5
1,E_Success_CollGreen,500.0,49.456303,1.096474,0.5
1,E_Failure_CollRed,500.0,49.712818,1.093891,0.5
1,E_Failure_CollRed,500.0,50.232113,1.096752,0.45
1,E_Success_CollGreen,500.0,50.464493,1.096214,0.45
1,E_Success_CollGreen,500.0,50.552776,1.095829,0.45
1,E_Failure_CollRed,500.0,50.806709,1.096737,0.5
1,E_Failure_CollRed,500.0,51.328865,1.09552,0.5
1,E_Failure_CollRed,500.0,51.560707,1.096863,0.5
1,E_Failure_CollRed,500.0,51.648605,1.095455,0.45
1,E_Failure_CollRed,500.0,51.903446,1.094086,0.4
1,E_Failure_CollRed,500.0,52.424385,1.093479,0.35
1,E_Failure_CollRed,500.0,52.65757,1.0979,0.35
1,E_Success_CollGreen,500.0,52.744061,1.094902,0.3
1,E_Failure_CollRed,500.0,52.997532,1.09494,0.35
1,E_Success_CollGreen,500.0,53.517864,1.096493,0.35
1,E_Failure_CollRed,500.0,53.75547,1.09697,0.35
1,E_Success_CollGreen,500.0,53.838963,1.096062,0.3
1,E_Failure_CollRed,500.0,54.092472,1.094036,0.35
1,E_Success_CollGreen,500.0,54.614357,1.094978,0.35
1,E_Failure_CollRed,500.0,54.85244,1.095894,0.35
1,E_Success_CollGreen,500.0,54.935024,1.094597,0.35
1,E_Failure_CollRed,500.0,55.186508,1.09343,0.35
1,E_Success_CollGreen,500.0,55.709335,1.097069,0.35
1,E_Success_CollGreen,500.0,55.948334,1.096264,0.4
1,E_Failure_CollRed,500.0,56.029621,1.097958,0.4
1,E_Failure_CollRed,500.0,56.279938,1.09856,0.35
1,E_Failure_CollRed,500.0,56.806404,1.09639,0.35
1,E_Success_CollGreen,500.0,57.044598,1.094311,0.35
1,E_Success_CollGreen,500.0,57.127579,1.09536,0.4
1,E_Success_CollGreen,500.0,57.378498,1.095299,0.45
1,E_Failure_CollRed,500.0,57.902794,1.094803,0.5
1,E_Success_CollGreen,500.0,58.138908,1.09724,0.5
1,E_Success_CollGreen,500.0,58.222939,1.096436,0.55
1,E_Failure_CollRed,500.0,58.473797,1.09885,0.55
1,E_Success_CollGreen,500.0,58.997597,1.094933,0.55
1,E_Success_CollGreen,500.0,59.236149,1.093632,0.55
1,E_Failure_CollRed,500.0,59.319374,1.094688,0.6
1,E_Failure_CollRed,500.0,59.572647,1.093941,0.55
1,E_Failure_CollRed,500.0,60.092529,1.105522,0.55
1,E_Failure_CollRed,500.0,60.329781,1.094761,0.5
1,E_Failure_CollRed,500.0,60.414062,1.093506,0.5
1,E_Success_CollGreen,500.0,60.666588,1.093559,0.45
1,E_Failure_CollRed,500.0,61.198051,1.094761,0.5
1,E_Success_CollGreen,500.0,61.424541,1.098911,0.45
1,E_Failure_CollRed,500.0,61.507568,1.09396,0.45
1,E_Failure_CollRed,500.0,61.760147,1.095383,0.45
1,E_Success_CollGreen,500.0,62.292812,1.098083,0.45
1,E_Success_CollGreen,500.0,62.523453,1.094906,0.5
1,E_Failure_CollRed,500.0,62.601528,1.095814,0.5
1,E_Failure_CollRed,500.0,62.85553,1.096142,0.45
1,E_Success_CollGreen,500.0,63.390896,1.097187,0.4
1,E_Failure_CollRed,500.0,63.618359,1.096821,0.45
1,E_Failure_CollRed,500.0,63.697342,1.097153,0.4
1,E_Success_CollGreen,500.0,63.951672,1.093861,0.35
1,E_Failure_CollRed,500.0,64.488083,1.096008,0.4
1,E_Failure_CollRed,500.0,64.715179,1.097137,0.35
1,E_Failure_CollRed,500.0,64.794495,1.0952,0.3
1,E_Failure_CollRed,500.0,65.045532,1.094681,0.3
1,E_Failure_CollRed,500.0,65.584091,1.098053,0.3
1,E_Success_CollGreen,500.0,65.812317,1.09774,0.3
1,E_Success_CollGreen,500.0,65.889694,1.094299,0.35
1,E_Failure_CollRed,500.0,66.140213,1.095734,0.4
1,E_Failure_CollRed,500.0,66.682144,1.093849,0.35
1,E_Success_CollGreen,500.0,66.910057,1.097107,0.35
1,E_Success_CollGreen,500.0,66.983994,1.097916,0.35
