GameDataRecords from User Named:Thatreesophon Ren Mengyi
EXPDayIndex,ResultType,CurrentUsedSpeed,LaunchedTime,ReactiontimeInterval,CurrentSuccessRate
1,E_Success_InterCeptRed,500.0,45.78804,0.867805,0.0
1,E_Success_CollGreen,500.0,45.78804,1.094074,0.0
1,E_Success_CollGreen,500.0,45.78804,1.094074,0.0
1,E_Success_CollGreen,500.0,45.78804,1.094074,0.0
1,E_Success_InterCeptRed,500.0,46.882114,0.536942,0.0
1,E_Success_InterCeptRed,500.0,46.882114,0.594742,0.0
1,E_Success_CollGreen,500.0,46.655846,1.089943,0.0
1,E_Success_CollGreen,500.0,46.882114,1.096409,0.0
1,E_Success_InterCeptRed,500.0,47.476856,0.577808,0.0
1,E_Success_CollGreen,500.0,47.419056,1.09343,0.0
1,E_Success_InterCeptRed,500.0,48.054665,0.548885,0.0
1,E_Success_InterCeptRed,500.0,47.978523,0.644146,0.0
1,E_Success_CollGreen,500.0,47.745789,1.09531,0.0
1,E_Success_InterCeptRed,500.0,48.60355,0.562325,0.0
1,E_Success_InterCeptRed,500.0,48.622669,0.557442,0.0
1,E_Success_CollGreen,500.0,48.512486,1.097717,0.0
1,E_Success_InterCeptRed,500.0,49.165874,0.60627,0.0
1,E_Success_CollGreen,500.0,48.841099,1.096848,0.0
1,E_Success_CollGreen,500.0,49.180111,1.089653,0.0
1,E_Success_InterCeptRed,500.0,49.772144,0.53141,0.0
1,E_Failure_InterCeptGreen,500.0,50.269764,0.381542,0.0
1,E_Success_CollGreen,500.0,49.610203,1.094738,0.95
1,E_Failure_InterCeptGreen,500.0,50.303555,0.430279,0.95
1,E_Success_InterCeptRed,500.0,49.937946,0.981434,0.9
1,E_Success_InterCeptRed,562.754395,50.91938,0.390514,0.9
1,E_Failure_InterCeptGreen,546.363525,50.733833,0.58556,0.9
1,E_Failure_InterCeptGreen,530.450012,50.704941,0.619946,0.85
1,E_Success_InterCeptRed,515.0,50.651306,0.682121,0.8
1,E_Success_InterCeptRed,579.637024,51.324886,0.617805,0.8
1,E_Success_InterCeptRed,579.637024,51.319393,0.632065,0.8
1,E_Success_CollGreen,579.637024,51.309895,0.940323,0.8
1,E_Success_CollGreen,579.637024,51.333427,0.94178,0.8
1,E_Success_InterCeptRed,579.637024,51.942692,0.620907,0.8
1,E_Success_CollGreen,579.637024,51.951458,0.941547,0.8
1,E_Success_InterCeptRed,579.637024,52.250217,0.737663,0.8
1,E_Success_InterCeptRed,579.637024,52.563599,0.481506,0.8
1,E_Success_CollGreen,579.637024,52.275208,0.946106,0.8
1,E_Success_InterCeptRed,579.637024,52.893005,0.71114,0.8
1,E_Success_InterCeptRed,579.637024,53.221313,0.421684,0.8
1,E_Failure_CollRed,579.637024,52.987881,0.939621,0.8
1,E_Success_CollGreen,579.637024,53.045105,0.945053,0.75
1,E_Failure_InterCeptGreen,579.637024,53.927502,0.223297,0.8
1,E_Success_InterCeptRed,579.637024,54.150799,0.076836,0.75
1,E_Failure_InterCeptGreen,579.637024,53.604145,0.651043,0.8
1,E_Success_InterCeptRed,579.637024,53.642998,0.633678,0.75
1,E_Success_InterCeptRed,579.637024,53.990158,0.863884,0.75
1,E_Failure_InterCeptGreen,579.637024,54.227634,0.659405,0.8
1,E_Success_CollGreen,579.637024,54.255188,0.940479,0.8
1,E_Success_CollGreen,579.637024,54.276676,0.93763,0.8
1,E_Success_InterCeptRed,579.637024,54.854042,0.525768,0.8
1,E_Success_InterCeptRed,579.637024,54.887039,0.608303,0.8
1,E_Success_InterCeptRed,579.637024,55.37981,0.367077,0.8
1,E_Success_InterCeptRed,579.637024,55.195667,0.611294,0.8
1,E_Success_InterCeptRed,579.637024,55.214306,0.607342,0.8
1,E_Failure_InterCeptGreen,579.637024,55.495342,0.326305,0.8
1,E_Success_InterCeptRed,579.637024,55.821648,0.639755,0.75
1,E_Failure_InterCeptGreen,579.637024,55.746887,0.738049,0.75
1,E_Success_CollGreen,579.637024,55.806961,0.941231,0.7
1,E_Success_CollGreen,579.637024,55.821648,0.940746,0.7
1,E_Success_InterCeptRed,579.637024,56.484936,0.543987,0.7
1,E_Failure_InterCeptGreen,579.637024,56.461403,0.601162,0.75
1,E_Failure_InterCeptGreen,579.637024,56.748192,0.362797,0.7
1,E_Success_CollGreen,579.637024,56.762394,0.94743,0.7
1,E_Success_InterCeptRed,579.637024,57.028923,0.717865,0.7
1,E_Success_InterCeptRed,579.637024,57.062565,0.684223,0.75
1,E_Failure_InterCeptGreen,579.637024,57.110989,0.654633,0.75
1,E_Failure_InterCeptGreen,579.637024,57.709824,0.061237,0.7
1,E_Success_InterCeptRed,579.637024,57.765621,0.637661,0.7
1,E_Success_InterCeptRed,579.637024,57.771061,0.656349,0.7
1,E_Failure_InterCeptGreen,579.637024,57.746788,0.795513,0.7
1,E_Success_CollGreen,579.637024,57.746788,0.943302,0.65
1,E_Success_InterCeptRed,579.637024,58.403282,0.690418,0.65
1,E_Success_InterCeptRed,579.637024,58.42741,0.680546,0.65
1,E_Success_InterCeptRed,579.637024,58.542301,0.631939,0.65
1,E_Success_CollGreen,579.637024,58.69009,0.94672,0.65
1,E_Failure_InterCeptGreen,579.637024,59.0937,0.760498,0.7
1,E_Success_InterCeptRed,579.637024,59.17424,0.679958,0.65
1,E_Failure_InterCeptGreen,579.637024,59.107956,0.751644,0.7
1,E_Failure_InterCeptGreen,579.637024,59.854198,0.68898,0.65
1,E_Success_InterCeptRed,579.637024,59.8596,0.696465,0.6
1,E_Success_CollGreen,579.637024,59.63681,0.947414,0.6
1,E_Success_CollGreen,579.637024,59.854198,0.94659,0.65
1,E_Success_InterCeptRed,579.637024,60.584225,0.731789,0.7
1,E_Failure_InterCeptGreen,579.637024,60.556065,0.779106,0.7
1,E_Success_CollGreen,579.637024,60.543179,0.939808,0.65
1,E_Success_CollGreen,579.637024,60.800789,0.944725,0.65
1,E_Success_InterCeptRed,579.637024,61.482986,0.530823,0.7
1,E_Success_InterCeptRed,579.637024,61.335171,0.693012,0.75
1,E_Success_InterCeptRed,579.637024,61.316013,0.722076,0.75
1,E_Success_CollGreen,579.637024,61.745514,0.948441,0.75
1,E_Success_InterCeptRed,579.637024,62.028183,0.712875,0.8
1,E_Failure_InterCeptGreen,579.637024,62.013809,0.736378,0.8
1,E_Success_CollGreen,579.637024,62.03809,0.940495,0.75
1,E_Success_InterCeptRed,579.637024,62.693954,0.799664,0.75
1,E_Success_InterCeptRed,579.637024,62.978584,0.690792,0.75
1,E_Success_CollGreen,579.637024,62.741058,0.938091,0.75
1,E_Success_CollGreen,579.637024,62.750187,0.939117,0.8
1,E_Success_InterCeptRed,579.637024,63.689304,0.020184,0.8
1,E_Failure_InterCeptGreen,579.637024,63.67915,0.125206,0.85
1,E_Success_CollGreen,579.637024,63.493618,0.944477,0.85
1,E_Failure_InterCeptGreen,579.637024,63.669376,0.801907,0.85
1,E_Failure_InterCeptGreen,579.637024,63.709488,0.80056,0.8
1,E_Success_InterCeptRed,579.637024,63.804356,0.739674,0.75
1,E_Success_InterCeptRed,579.637024,64.510048,0.687561,0.75
1,E_Success_InterCeptRed,579.637024,64.438095,0.769218,0.8
1,E_Success_CollGreen,579.637024,64.471283,0.942589,0.8
1,E_Failure_CollRed,579.637024,64.544029,0.939583,0.8
