GameDataRecords from User Named:Adrian Garcia Andreu
EXPDayIndex,ResultType,CurrentUsedSpeed,LaunchedTime,ReactiontimeInterval,CurrentSuccessRate
1,E_Failure_InterCeptGreen,500.0,338.217438,0.890076,0.0
1,E_Failure_CollRed,500.0,338.217438,1.094971,0.0
1,E_Failure_CollRed,500.0,338.217438,1.094971,0.0
1,E_Failure_CollRed,500.0,338.217438,1.094971,0.0
1,E_Failure_InterCeptGreen,500.0,339.312408,0.838257,0.0
1,E_Failure_CollRed,500.0,339.107513,1.09436,0.0
1,E_Failure_CollRed,500.0,339.312408,1.094086,0.0
1,E_Failure_CollRed,500.0,339.312408,1.094086,0.0
1,E_Failure_InterCeptGreen,500.0,340.201874,0.721985,0.0
1,E_Failure_InterCeptGreen,500.0,340.406494,0.702179,0.0
1,E_Failure_CollRed,500.0,340.150665,1.090912,0.0
1,E_Failure_InterCeptGreen,500.0,340.406494,1.029419,0.0
1,E_Failure_InterCeptGreen,500.0,340.923859,0.761841,0.0
1,E_Failure_InterCeptGreen,500.0,341.108673,0.686798,0.0
1,E_Failure_InterCeptGreen,500.0,341.241577,0.914368,0.0
1,E_Failure_CollRed,500.0,341.435913,1.093018,0.0
1,E_Failure_CollRed,500.0,341.685699,1.094055,0.0
1,E_Failure_CollRed,500.0,341.795471,1.093536,0.0
1,E_Failure_InterCeptGreen,500.0,342.528931,0.45224,0.0
1,E_Failure_CollRed,500.0,342.155945,1.091492,0.0
1,E_Failure_InterCeptGreen,500.0,343.247437,0.53479,0.0
1,E_Failure_CollRed,500.0,342.779755,1.094452,0.0
1,E_Failure_CollRed,500.0,342.889008,1.093994,0.0
1,E_Failure_CollRed,500.0,342.981171,1.090668,0.0
1,E_Failure_InterCeptGreen,500.0,343.782227,0.464478,0.0
1,E_Failure_InterCeptGreen,500.0,343.874207,0.683472,0.0
1,E_Failure_InterCeptGreen,500.0,343.983002,0.668915,0.0
1,E_Failure_InterCeptGreen,500.0,344.071838,0.780945,0.0
1,E_Failure_InterCeptGreen,500.0,344.557678,0.696503,0.0
1,E_Failure_CollRed,500.0,344.246704,1.093231,0.0
1,E_Failure_InterCeptGreen,500.0,344.852783,0.640106,0.0
1,E_Failure_CollRed,500.0,344.651917,1.091888,0.0
1,E_Failure_InterCeptGreen,500.0,345.339935,0.570679,0.0
1,E_Failure_InterCeptGreen,500.0,345.743805,0.564819,0.0
1,E_Failure_CollRed,500.0,345.254181,1.095062,0.0
1,E_Failure_CollRed,500.0,345.492889,1.093689,0.0
1,E_Failure_InterCeptGreen,500.0,346.308624,0.567139,0.0
1,E_Failure_CollRed,500.0,345.910614,1.0914,0.0
1,E_Success_InterCeptRed,500.0,347.002014,0.21991,0.0
1,E_Failure_CollRed,500.0,346.349243,1.095245,0.05
1,E_Failure_InterCeptGreen,500.0,346.586578,1.004028,0.05
1,E_Failure_InterCeptGreen,500.0,347.221924,0.664825,0.05
1,E_Failure_CollRed,500.0,346.875763,1.092834,0.05
1,E_Failure_InterCeptGreen,500.0,347.886749,0.516907,0.05
1,E_Failure_CollRed,500.0,347.444489,1.094482,0.05
1,E_Failure_CollRed,500.0,347.590607,1.090698,0.05
1,E_Failure_InterCeptGreen,500.0,347.968597,0.741272,0.05
1,E_Failure_InterCeptGreen,500.0,348.403656,0.76062,0.05
1,E_Failure_CollRed,500.0,348.538971,1.093384,0.05
1,E_Failure_InterCeptGreen,500.0,349.164276,0.543304,0.05
1,E_Failure_CollRed,500.0,348.681305,1.095062,0.05
1,E_Failure_CollRed,500.0,348.709869,1.090881,0.05
1,E_Success_CollGreen,500.0,349.632355,1.094208,0.05
