GameDataRecords from User Named:wangpan,,,,,
EXPDayIndex,ResultType,CurrentUsedSpeed,LaunchedTime,ReactiontimeInterval,CurrentSuccessRate
1,E_Success_InterCeptRed,500,451.995941,0.690887,0
1,E_Success_CollGreen,500,451.995941,1.094177,0
1,E_Success_CollGreen,500,451.995941,1.094177,0
1,E_Success_CollGreen,500,451.995941,1.094177,0
1,E_Success_InterCeptRed,500,452.686829,0.466003,0
1,E_Success_InterCeptRed,500,453.152832,0.446564,0
1,E_Success_InterCeptRed,500,453.090118,0.70163,0
1,E_Success_InterCeptRed,500,453.599396,0.488373,0
1,E_Success_CollGreen,500,453.090118,1.093414,0
1,E_Success_CollGreen,500,453.090118,1.093414,0
1,E_Success_InterCeptRed,500,454.087769,0.402039,0
1,E_Success_InterCeptRed,500,454.183533,0.602631,0
1,E_Success_CollGreen,500,453.791748,1.089081,0
1,E_Success_CollGreen,500,454.183533,1.094147,0
1,E_Success_CollGreen,500,454.489807,1.097717,0
1,E_Success_CollGreen,500,454.786163,1.092194,0
1,E_Success_CollGreen,500,454.880829,1.094482,0
1,E_Success_InterCeptRed,500,455.587524,0.468506,0
1,E_Success_CollGreen,500,455.277679,1.097961,0
1,E_Success_CollGreen,500,455.878357,1.095795,0
1,E_Success_CollGreen,500,455.975311,1.095001,0
1,E_Success_CollGreen,500,456.05603,1.097534,1
1,E_Success_CollGreen,500,456.375641,1.093689,1
1,E_Success_InterCeptRed,500,456.974152,0.523804,1
1,E_Success_InterCeptRed,500,457.497955,0.248901,1
1,E_Success_InterCeptRed,500,457.070312,0.753845,1
1,E_Failure_InterCeptGreen,500,457.746857,0.327209,1
1,E_Success_InterCeptRed,500,457.46933,0.737457,0.95
1,E_Success_CollGreen,500,457.153564,1.095978,0.95
1,E_Success_InterCeptRed,500,458.206787,0.241272,0.95
1,E_Success_InterCeptRed,500,458.249542,0.457153,0.95
1,E_Success_InterCeptRed,500,458.074066,0.72171,0.95
1,E_Failure_CollRed,500,457.824158,1.090057,0.95
1,E_Success_InterCeptRed,500,458.706696,0.355591,0.9
1,E_Failure_InterCeptGreen,500,458.914215,0.166077,0.9
1,E_Failure_InterCeptGreen,500,458.795776,0.293976,0.85
1,E_Success_InterCeptRed,500,459.062286,0.37149,0.8
1,E_Success_InterCeptRed,500,458.448059,1.009735,0.8
1,E_Success_CollGreen,500,459.080292,1.09259,0.8
1,E_Success_CollGreen,500,459.089752,1.088867,0.8
1,E_Success_CollGreen,500,459.433777,1.097687,0.8
1,E_Success_CollGreen,500,459.457794,1.091553,0.8
1,E_Success_InterCeptRed,500,460.172882,0.53952,0.8
1,E_Success_InterCeptRed,500,460.549347,0.492981,0.8
1,E_Success_CollGreen,500,460.178619,1.097137,0.8
1,E_Success_InterCeptRed,500,461.042328,0.448303,0.8
1,E_Success_CollGreen,500,460.531464,1.095703,0.8
1,E_Success_InterCeptRed,500,461.275757,0.486938,0.85
1,E_Success_CollGreen,500,460.712402,1.092102,0.85
