"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","view_history","exp_stage","stimulus","possible_responses","stim_duration","correct_response","condition","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","responses","credit_var"
"<div class = centerbox><p class = center-block-text>Welcome to the experiment. This experiment will take about 30 minutes. Press <strong>enter</strong> to begin.</p></div>","13728","13","13728","0","instruction","poldrack-text","0","13729","0.0-0.0-0.0","stop_signal","","","","","","","","","","","","","",""
"","30225","","","","instruction","poldrack-instructions","1","43955","0.0-0.0-1.0","stop_signal","[{""page_index"":0,""viewing_time"":9669},{""page_index"":1,""viewing_time"":20556}]","","","","","","","","","","","","",""
"<div class = centerbox><p class = block-text>We will now start with a practice session. In this practice  concentrate on responding quickly and accurately to each shape. Press <strong>enter</strong> to continue.</p></div>","4528","13","4528","1000","feedback","poldrack-text","2","49485","0.0-1.0-0.0","stop_signal","","practice","","","","","","","","","","","",""
"","-1","-1","500","0","fixation","poldrack-single-stim","3","51000","0.0-1.0-1.0","stop_signal","","practice","<div class = shapebox><div class = fixation>+</div></div>","none","500","","","","","","","","",""
"","803","77","1850","0","stim","poldrack-single-stim","4","52856","0.0-1.0-2.0","stop_signal","","NoSS_practice","<div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/pentagon.png></img></div>","77,90","850","77","NoSS_practice","0","","","","","",""
"","-1","-1","500","0","fixation","poldrack-single-stim","5","53367","0.0-1.0-3.0","stop_signal","","practice","<div class = shapebox><div class = fixation>+</div></div>","none","500","","","","","","","","",""
"","628","77","1850","0","stim","poldrack-single-stim","6","55225","0.0-1.0-4.0","stop_signal","","NoSS_practice","<div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/hourglass.png></img></div>","77,90","850","77","NoSS_practice","1","","","","","",""
"","-1","-1","500","0","fixation","poldrack-single-stim","7","55737","0.0-1.0-5.0","stop_signal","","practice","<div class = shapebox><div class = fixation>+</div></div>","none","500","","","","","","","","",""
"","683","90","1850","0","stim","poldrack-single-stim","8","57597","0.0-1.0-6.0","stop_signal","","NoSS_practice","<div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/square.png></img></div>","77,90","850","90","NoSS_practice","2","","","","","",""
"","-1","-1","500","0","fixation","poldrack-single-stim","9","58110","0.0-1.0-7.0","stop_signal","","practice","<div class = shapebox><div class = fixation>+</div></div>","none","500","","","","","","","","",""
"","662","77","1850","0","stim","poldrack-single-stim","10","59971","0.0-1.0-8.0","stop_signal","","NoSS_practice","<div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/hourglass.png></img></div>","77,90","850","77","NoSS_practice","3","","","","","",""
"","-1","-1","500","0","fixation","poldrack-single-stim","11","60483","0.0-1.0-9.0","stop_signal","","practice","<div class = shapebox><div class = fixation>+</div></div>","none","500","","","","","","","","",""
"","464","77","1850","0","stim","poldrack-single-stim","12","62342","0.0-1.0-10.0","stop_signal","","NoSS_practice","<div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/hourglass.png></img></div>","77,90","850","77","NoSS_practice","4","","","","","",""
"","-1","-1","500","0","fixation","poldrack-single-stim","13","62852","0.0-1.0-11.0","stop_signal","","practice","<div class = shapebox><div class = fixation>+</div></div>","none","500","","","","","","","","",""
"","591","77","1850","0","stim","poldrack-single-stim","14","64710","0.0-1.0-12.0","stop_signal","","NoSS_practice","<div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/pentagon.png></img></div>","77,90","850","77","NoSS_practice","5","","","","","",""
"","-1","-1","500","0","fixation","poldrack-single-stim","15","65221","0.0-1.0-13.0","stop_signal","","practice","<div class = shapebox><div class = fixation>+</div></div>","none","500","","","","","","","","",""
"","473","90","1850","0","stim","poldrack-single-stim","16","67084","0.0-1.0-14.0","stop_signal","","NoSS_practice","<div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/square.png></img></div>","77,90","850","90","NoSS_practice","6","","","","","",""
"","-1","-1","500","0","fixation","poldrack-single-stim","17","67593","0.0-1.0-15.0","stop_signal","","practice","<div class = shapebox><div class = fixation>+</div></div>","none","500","","","","","","","","",""
"","595","90","1850","0","stim","poldrack-single-stim","18","69454","0.0-1.0-16.0","stop_signal","","NoSS_practice","<div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/tear.png></img></div>","77,90","850","90","NoSS_practice","7","","","","","",""
"","-1","-1","500","0","fixation","poldrack-single-stim","19","69969","0.0-1.0-17.0","stop_signal","","practice","<div class = shapebox><div class = fixation>+</div></div>","none","500","","","","","","","","",""
"","435","90","1850","0","stim","poldrack-single-stim","20","71828","0.0-1.0-18.0","stop_signal","","NoSS_practice","<div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/tear.png></img></div>","77,90","850","90","NoSS_practice","8","","","","","",""
"","-1","-1","500","0","fixation","poldrack-single-stim","21","72340","0.0-1.0-19.0","stop_signal","","practice","<div class = shapebox><div class = fixation>+</div></div>","none","500","","","","","","","","",""
"","696","90","1850","0","stim","poldrack-single-stim","22","74199","0.0-1.0-20.0","stop_signal","","NoSS_practice","<div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/square.png></img></div>","77,90","850","90","NoSS_practice","9","","","","","",""
"","-1","-1","500","0","fixation","poldrack-single-stim","23","74709","0.0-1.0-21.0","stop_signal","","practice","<div class = shapebox><div class = fixation>+</div></div>","none","500","","","","","","","","",""
"","461","90","1850","0","stim","poldrack-single-stim","24","76573","0.0-1.0-22.0","stop_signal","","NoSS_practice","<div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/tear.png></img></div>","77,90","850","90","NoSS_practice","10","","","","","",""
"","-1","-1","500","0","fixation","poldrack-single-stim","25","77083","0.0-1.0-23.0","stop_signal","","practice","<div class = shapebox><div class = fixation>+</div></div>","none","500","","","","","","","","",""
